code	occupation	gender	conversations	birth-region	age-range	study-level	L1
BOI102	2-Professionals	F	PBB030	emilia-romagna	31-35	university-degree	italian
BOI103	0-Retired	F	PBC024	emilia-romagna	over 85	middle-school	dialect
BOI104	0-Retired	F	PBC024	emilia-romagna	66-70	university-degree	italian
BOI105	3-Technicians	M	PBA026	emilia-romagna	16-20	technical-vocational-diploma	italian
BOI106	3-Technicians	M	PBA027	emilia-romagna	26-30	technical-vocational-diploma	italian
BOI107	3-Technicians	F	PBA027	emilia-romagna	26-30	university-degree	italian
BOI108	5-Service-Workers	F	PBB031	emilia-romagna	56-60	university-degree	italian
BOI109	5-Service-Workers	M	PBB031	emilia-romagna	56-60	liceo-diploma	italian
BOI110	0-Students	F	PBA028	emilia-romagna	21-25	university-degree-ongoing	italian
BOI111	4-Clerical-Workers	M	PBA028	emilia-romagna	21-25	university-degree	italian
BOI112	0-Retired	F	PBC025	emilia-romagna	61-65	university-degree	italian
BOI113	0-Students	F	PBA029	toscana	16-20	university-degree-ongoing	italian
BOI114	3-Technicians	M	PBA029	emilia-romagna	26-30	technical-vocational-diploma	italian
BOI115	0-Students	F	PBA030	emilia-romagna	16-20	university-degree-ongoing	italian
BOI116	0-Students	M	PBA030	emilia-romagna	21-25	university-degree-ongoing	italian
BOI117	4-Clerical-Workers	F	PBB032	calabria	46-50	university-degree	italian
BOI118	2-Professionals	M	PBB032	calabria	51-55	university-degree	italian
BOI119	2-Professionals	M	PBB033	emilia-romagna	71-75	university-degree	italian
BOR002	0-Students	F	PBC005;PBC009;PBC008;PBB003	emilia-romagna	21-25	university-degree-ongoing	italian
BOR003	0-Students	F	PBC002;PBA001	emilia-romagna	21-25	university-degree-ongoing	italian
BOR004	0-Students	F	PBC006;PBB008;PBC004	emilia-romagna	21-25	university-degree-ongoing	italian
BOR005	0-Students	M	PBB013;PBB014;PBB007;PBC012;PBC008;PBC007;PBB004	marche	21-25	university-degree-ongoing	italian
BOR006	0-Students	M	PBB016;PBB008;PBB012;PBC020	emilia-romagna	21-25	university-degree-ongoing	italian
BOR007	0-Students	F	PBB010;PBB011;PBB009	lombardia	21-25	university-degree-ongoing	italian
BOR008	0-Students	F	PBC011	sardegna	16-20	university-degree-ongoing	italian
BOR009	0-Students	F	PBB015;PBB019;PBC017;PBC013	piemonte	21-25	university-degree-ongoing	italian
BOR011	0-Students	M	PBB017	sardegna	21-25	university-degree-ongoing	italian
BOR012	0-Students	F	PBC021	emilia-romagna	21-25	university-degree	italian
BOR013	0-Students	F	PBB018	emilia-romagna	21-25	university-degree	italian
BOR014	0-Students	F	PBC022	emilia-romagna	21-25	university-degree	italian
BOR015	0-Students	F	PBA003	umbria	21-25	university-degree	italian
BOR016	0-Students	F	PBC023	emilia-romagna	21-25	university-degree	italian
BOR017	3-Technicians	M	PBB020	sicilia	21-25	technical-vocational-diploma	N/A
BOR018	0-Students	F	PBA013;PBA012;PBA004	calabria	21-25	university-degree-ongoing	italian
BOR021	0-Students	F	PBA011	sicilia	21-25	university-degree-ongoing	italian
BOR022	0-Students	F	PBA018;PBA016;PBA019;PBA017	marche	21-25	university-degree-ongoing	italian
BOR023	0-Students	F	PBB021;PBA019	marche	21-25	university-degree-ongoing	italian
BOR024	0-Students	F	PBB022	emilia-romagna	21-25	university-degree-ongoing	italian
BOR027	0-Students	F	PBB023	emilia-romagna	21-25	university-degree-ongoing	italian
BOR029	0-Students	M	PBA020	emilia-romagna	21-25	university-degree-ongoing	italian
BOR032	0-Students	F	PBB026	emilia-romagna	16-20	university-degree-ongoing	italian
BOR037	0-Students	F	PBB033	emilia-romagna	21-25	university-degree-ongoing	italian
BOR001	0-Students	F	PBB001;PBB002;PBB005;PBC001;PBC010;PBB012;PBC003	emilia-romagna	21-25	university-degree-ongoing	italian
BOR010	0-Students	F	PBC019;PBA002;PBC018;PBC014;PBC015;PBC016	emilia-romagna	21-25	university-degree-ongoing	italian
BOR019	0-Students	F	PBA009;PBA010;PBA005;PBA014;PBA015	emilia-romagna	21-25	university-degree-ongoing	italian
BOR020	0-Students	F	PBA006;PBA007;PBA008;PBA016	trentino-alto-adige	21-25	university-degree	italian
BOR025	0-Students	F	PBB022;PBB030;PBC025	emilia-romagna	21-25	university-degree-ongoing	italian
BOR026	0-Students	M	PBB021;PBB023	sardegna	21-25	university-degree-ongoing	italian
BOR028	0-Students	F	PBA029;PBA020	toscana	21-25	university-degree-ongoing	italian
BOR030	0-Students	F	PBA021;PBB024;PBB025	emilia-romagna	21-25	university-degree-ongoing	italian
BOR031	0-Students	M	PBA028;PBA030;PBB026;PBB032;PBB031	emilia-romagna	21-25	university-degree-ongoing	italian
BOR035	0-Students	F	PBC025;PBB030	sicilia	21-25	university-degree-ongoing	italian
BOR036	2-Professionals	F	PBB027;PBB028;PBB029;PBC024;PBA027	emilia-romagna	31-35	phd	italian
BOR034	0-Students	M	PBA025;PBA026	N/A	N/A	university-degree-ongoing	N/A
